system:index,AssemblageMode,latitude,longitude,x,.geo
8_13675,8,12.75127105,109.0565086,0.002927949,"{""geodesic"":true,""type"":""Point"",""coordinates"":[109.05650855493191,12.751271047708338]}"
8_12435,8,14.52831834,98.45054915,0.004554098,"{""geodesic"":true,""type"":""Point"",""coordinates"":[98.45054915282246,14.52831834275567]}"
8_9087,8,22.01811186,102.8492398,0.005095479,"{""geodesic"":true,""type"":""Point"",""coordinates"":[102.84923977310528,22.018111855639418]}"
8_8090,8,16.15768261,99.19785764,0.005460624,"{""geodesic"":true,""type"":""Point"",""coordinates"":[99.19785763769222,16.157682605093576]}"
8_14054,8,6.149462193,101.0848587,0.005469364,"{""geodesic"":true,""type"":""Point"",""coordinates"":[101.08485872354079,6.149462193177779]}"
8_1316,8,18.62382755,101.3392616,0.005474145,"{""geodesic"":true,""type"":""Point"",""coordinates"":[101.33926161200709,18.62382755458981]}"
8_12250,8,22.45469308,102.9829091,0.005503344,"{""geodesic"":true,""type"":""Point"",""coordinates"":[102.98290908738419,22.45469308372202]}"
8_2029,8,14.10036094,108.9425123,0.005865814,"{""geodesic"":true,""type"":""Point"",""coordinates"":[108.9425123453755,14.100360941400625]}"
8_10171,8,23.15133659,105.6080558,0.006222755,"{""geodesic"":true,""type"":""Point"",""coordinates"":[105.60805584220437,23.151336586557534]}"
8_14941,8,15.17052394,107.8812427,0.00640458,"{""geodesic"":true,""type"":""Point"",""coordinates"":[107.88124266870146,15.170523939373473]}"
8_10353,8,20.71591402,103.8730497,0.006408745,"{""geodesic"":true,""type"":""Point"",""coordinates"":[103.873049702431,20.715914019778225]}"
8_14723,8,19.10757034,99.33044897,0.006416026,"{""geodesic"":true,""type"":""Point"",""coordinates"":[99.33044897363017,19.107570335088738]}"
8_6119,8,11.41754235,108.0534497,0.006691873,"{""geodesic"":true,""type"":""Point"",""coordinates"":[108.05344970866965,11.41754234537451]}"
8_8485,8,24.20128749,98.64189031,0.006836436,"{""geodesic"":true,""type"":""Point"",""coordinates"":[98.64189030834267,24.201287490637668]}"
8_13036,8,12.50387502,99.25067858,0.00704055,"{""geodesic"":true,""type"":""Point"",""coordinates"":[99.25067857639921,12.503875018461532]}"
8_163,8,17.89565319,105.9740295,0.007211023,"{""geodesic"":true,""type"":""Point"",""coordinates"":[105.97402948895991,17.895653185281667]}"
8_10922,8,7.412852809,99.2048645,0.007267382,"{""geodesic"":true,""type"":""Point"",""coordinates"":[99.20486449690846,7.412852808764963]}"
8_4769,8,23.37313063,93.81146936,0.007293617,"{""geodesic"":true,""type"":""Point"",""coordinates"":[93.8114693625058,23.3731306302069]}"
8_12587,8,14.19953495,107.3953439,0.008509286,"{""geodesic"":true,""type"":""Point"",""coordinates"":[107.39534393151423,14.199534948767537]}"
8_11063,8,12.59685065,99.11539229,0.00886851,"{""geodesic"":true,""type"":""Point"",""coordinates"":[99.11539229460887,12.596850650368008]}"
8_548,8,5.98938241,100.8689936,0.00922948,"{""geodesic"":true,""type"":""Point"",""coordinates"":[100.86899356076377,5.989382409547492]}"
8_4205,8,18.7610003,96.05797623,0.009381547,"{""geodesic"":true,""type"":""Point"",""coordinates"":[96.05797622506417,18.761000298475018]}"
8_2120,8,19.37922088,94.20169752,0.010632572,"{""geodesic"":true,""type"":""Point"",""coordinates"":[94.20169752193293,19.3792208770068]}"
8_5415,8,24.8081893,95.8550468,0.010831419,"{""geodesic"":true,""type"":""Point"",""coordinates"":[95.85504680237865,24.808189296589532]}"
8_10715,8,11.49866022,103.4609925,0.01125776,"{""geodesic"":true,""type"":""Point"",""coordinates"":[103.46099248159946,11.498660215530602]}"
8_12176,8,17.92368062,102.3816667,0.012434668,"{""geodesic"":true,""type"":""Point"",""coordinates"":[102.38166666771436,17.92368062214623]}"
8_3066,8,21.25139976,102.7179959,0.012526671,"{""geodesic"":true,""type"":""Point"",""coordinates"":[102.71799591009353,21.251399760642506]}"
8_3028,8,20.50705572,102.2199699,0.012530217,"{""geodesic"":true,""type"":""Point"",""coordinates"":[102.21996991657052,20.507055716220194]}"
8_4138,8,22.83737539,105.1512625,0.0127086,"{""geodesic"":true,""type"":""Point"",""coordinates"":[105.15126252022303,22.837375394757387]}"
8_5617,8,19.58026384,100.8627952,0.012842196,"{""geodesic"":true,""type"":""Point"",""coordinates"":[100.86279518530326,19.580263837592987]}"
8_874,8,22.01353045,98.49366829,0.012842203,"{""geodesic"":true,""type"":""Point"",""coordinates"":[98.49366828646082,22.013530447690407]}"
8_8287,8,26.29984183,96.44200601,0.013378547,"{""geodesic"":true,""type"":""Point"",""coordinates"":[96.44200600903078,26.299841825871752]}"
8_12907,8,5.915001904,101.7001149,0.013409492,"{""geodesic"":true,""type"":""Point"",""coordinates"":[101.70011486164309,5.915001904022308]}"
8_11789,8,17.69461022,106.3189826,0.013991482,"{""geodesic"":true,""type"":""Point"",""coordinates"":[106.31898255806676,17.69461022469548]}"
8_9497,8,22.42235373,94.51916214,0.014156677,"{""geodesic"":true,""type"":""Point"",""coordinates"":[94.51916214334533,22.42235373349368]}"
8_9477,8,17.86897322,106.1133582,0.014714783,"{""geodesic"":true,""type"":""Point"",""coordinates"":[106.11335818952885,17.868973221343282]}"
8_6501,8,18.45647142,97.62832117,0.014782361,"{""geodesic"":true,""type"":""Point"",""coordinates"":[97.62832117325605,18.45647141715814]}"
