latitude,longitude,ID,elevation,slope,aspect,dryland_category,Continent,country,district,realm,biome,ecoregion,fao_ecozones
7.093223,99.885149,As44053,,,,,Asia,Thailand,Trang,IM,1,40163,11
13.973382,101.846167,As38441,,,,,Asia,Thailand,Phachinburi,IM,2,40202,11
18.336166,103.25584,As37863,,,,,Asia,Thailand,Nong Khai,IM,1,40138,11
8.168239,99.655796,As43857,,,,,Asia,Thailand,Nakhon Si Thammarat,IM,1,40163,11
14.535917,99.661562,As37432,,,,,Asia,Thailand,Kanchanaburi,IM,2,40202,13
17.805468,100.441329,As33135,,,,,Asia,Thailand,Uttaradit,IM,1,40139,13
18.356688,100.783487,As37846,,,,,Asia,Thailand,Nan,IM,1,40139,12
16.093697,102.603859,As37536,,,,,Asia,Thailand,Khon Kaen,IM,2,40202,13
19.532689,99.920962,As33029,,,,,Asia,Thailand,Chiang Rai,IM,2,40202,12
14.739118,104.878998,As38524,,,,,Asia,Thailand,Ubon Ratchathani,IM,2,40202,13
16.892554,103.430965,As38570,,,,,Asia,Thailand,Udon Thani,IM,2,40202,12
16.41524,99.603819,As37415,,,,,Asia,Thailand,Kampaeng Phet,IM,2,40202,13
6.082081,101.34293,As44070,,,,,Asia,Thailand,Yala,IM,1,40146,11
17.970151,99.98978,As33113,,,,,Asia,Thailand,Phrae,IM,1,40139,13
14.216773,100.237146,As38239,,,,,Asia,Thailand,Suphanburi,IM,1,40107,13
19.41197,99.44553,As33041,,,,,Asia,Thailand,Chiang Rai,IM,1,40119,12
6.773275,100.145663,As43954,,,,,Asia,Thailand,Satun,IM,1,40163,11
18.812783,100.191819,As38026,,,,,Asia,Thailand,Phrae,IM,2,40202,12
7.735271,99.221172,As43833,,,,,Asia,Thailand,Krabi,IM,14,41404,11
17.615835,103.344093,As38573,,,,,Asia,Thailand,Udon Thani,IM,2,40202,11
12.766025,102.345341,As37290,,,,,Asia,Thailand,Chanthaburi,IM,1,40106,11
15.514622,104.358784,As38397,,,,,Asia,Thailand,Yasothon,IM,2,40202,13
17.543664,99.966501,As33131,,,,,Asia,Thailand,Uttaradit,IM,2,40202,13
15.772688,103.029274,As37697,,,,,Asia,Thailand,Maha Sarakham,IM,2,40202,13
18.59339,98.631115,As37326,,,,,Asia,Thailand,Chiang Mai,IM,1,40119,12
13.366174,99.752178,As38063,,,,,Asia,Thailand,Ratchaburi,IM,1,40107,13
13.721572,101.239908,As37209,,,,,Asia,Thailand,Chachoengsao,IM,1,40107,13
16.104695,102.453795,As37535,,,,,Asia,Thailand,Khon Kaen,IM,2,40202,13
6.235007,101.35174,As44068,,,,,Asia,Thailand,Yala,IM,1,40146,11
17.247017,102.546179,As38411,,,,,Asia,Thailand,Nong Bua Lamphu,IM,1,40138,12
16.153701,103.666515,As38097,,,,,Asia,Thailand,Roi Et,IM,2,40202,13
15.411169,103.89837,As38251,,,,,Asia,Thailand,Surin,IM,2,40202,13
6.244795,101.215438,As44067,,,,,Asia,Thailand,Yala,IM,1,40146,11
12.954207,101.77518,As37280,,,,,Asia,Thailand,Chanthaburi,IM,1,40106,13
10.630063,106.051123,As42373,,,,,Asia,Viet Nam,Long An,IM,1,40165,12
11.742184,108.929999,As36517,,,,,Asia,Viet Nam,Ninh Thuan,IM,2,40211,12
17.975989,105.692043,As36285,,,,,Asia,Viet Nam,Quang Binh,IM,1,40136,11
11.902075,107.788456,As36666,,,,,Asia,Viet Nam,Dak Nong,IM,1,40152,12
9.460597,105.784902,As42446,,,,,Asia,Viet Nam,Soc Trang,IM,14,41402,13
20.864036,103.49553,As32113,,,,,Asia,Viet Nam,Son La,IM,1,40137,16
19.093353,104.418908,As32321,,,,,Asia,Viet Nam,Nghe An,IM,1,40136,12
13.587064,108.452891,As36406,,,,,Asia,Viet Nam,Gia Lai,IM,2,40210,12
